,kgMid,name,musicAnalyticsSectionRenderer_content_trackTypes_trackViews_id,data_inicio
74,/g/11b7_v3lwg,Mc Dede,Y:i0DeJ3jlIBk,2019-01-04
75,,MC Menor MR,Y:i0DeJ3jlIBk,2019-01-04
76,/m/0dntv_d,Davi Sacer,Y:T0B6-hLwbHk,2019-01-04
77,/g/11gn259b0w,Mc Alê,Y:Yc8NF3F8LOU,2019-01-04
78,/g/11b7_snwcl,MC Rodolfinho,Y:Yc8NF3F8LOU,2019-01-04
79,/g/12lqjt13t,Hungria Hip-Hop,Y:_qP10Ka0BXc,2019-01-04
80,/g/11c2nn_kzf,Mc Th,Y:5S93gDIpnrU,2019-01-04
81,,MC Menininho,Y:5S93gDIpnrU,2019-01-04
82,/g/11g1yzvgvg,DJ Victor Falcão,Y:5S93gDIpnrU,2019-01-04
83,/g/11b7_snwcl,MC Rodolfinho,Y:2bVWiSHfQbo,2019-01-04
84,,MC Kevin o Chris,Y:2F5Y4Zbf1X4,2019-01-04
85,/m/01w65jh,DJ Snake,Y:WMgx7zhKzt8,2019-01-04
86,,Jerry Smith,Y:MHqHWn_7btU,2019-01-04
87,/g/11bt_7r7wh,MC Hariel,Y:0Scra6jfn8A,2019-01-04
88,/g/11f10lszn1,Anitta,Y:hqfWehl63gc,2019-01-04
89,/g/11f122x7gd,MC Magal,Y:AMZ8-HGMCVQ,2019-01-04
90,,Ruanzinho,Y:u8EXUyruTNU,2019-01-04
91,/g/11cnnwp26d,Marília Mendonça,Y:tgwuHK-uyog,2019-01-04
92,/m/0j9m6s7,Gusttavo Lima,Y:AwmrQLhO2pc,2019-01-04
93,/g/11gc9g8dkg,IZA,Y:ySU2GaJKbxc,2019-01-04
94,/g/11bvt5dbv2,Leandro Borges,Y:wXDO-Kut5qs,2019-01-04
95,/g/11fy_qdm4z,Luísa Sonza,Y:aTRPGEc2S3Y,2019-01-04
96,/m/09gkdy4,Ariana Grande,Y:MxonrvCJRyw,2019-01-04
97,/g/11b7_vwf0c,MC Vinny,Y:_yqx2uh_c6k,2019-01-04
98,/g/11ghyk6np1,Vitor Kley,Y:TguSbAn4rJs,2019-01-04
99,/g/11g6rmbwk8,Bruno Martini,Y:TguSbAn4rJs,2019-01-04
100,/g/11byhkk3nl,Lexa,Y:5f1wacUTmF8,2019-01-04
101,/m/0j9m6s7,Gusttavo Lima,Y:rk6N9ptf6Bo,2019-01-04
102,/m/0gh91m8,Luan Santana,Y:AFjQl6-puAI,2019-01-04
103,/m/0y7r5y0,Maluma,Y:YsP5JwhXt8I,2019-01-04
104,/m/0p3qdsy,Becky G,Y:YsP5JwhXt8I,2019-01-04
105,/g/11f10lszn1,Anitta,Y:YsP5JwhXt8I,2019-01-04
106,/m/01pb7lz,Grupo Revelação,Y:3_WQEtYXT6s,2019-01-04
107,,MC WM,Y:hIjuhGHXvR4,2019-01-04
108,,Alessandro Vilas Boas,Y:OqgXaloCM58,2019-01-04
109,/m/01sz99q,Eduardo Costa,Y:6Vluz5gZKWc,2019-01-04
110,/g/11c2psj56j,MC Kekel,Y:2huCS-0jqwI,2019-01-04
111,/g/11g9l_xksy,MC Don Juan,Y:OtoDffCrz2k,2019-01-04
112,,Mc Kevin,Y:OtoDffCrz2k,2019-01-04
113,/g/11g9l_xksy,MC Don Juan,Y:hJ01MMuyagY,2019-01-04
114,,Pineapple StormTV,Y:XCan20rfCXo,2019-01-04
115,,Bob do Contra,Y:XCan20rfCXo,2019-01-04
116,/m/01mmpyl,MV Bill,Y:XCan20rfCXo,2019-01-04
117,/g/11c2kkd85x,Froid,Y:XCan20rfCXo,2019-01-04
118,/g/11ghrc2ffn,Djonga,Y:XCan20rfCXo,2019-01-04
119,/g/11gff6wktm,Azzy,Y:XCan20rfCXo,2019-01-04
120,,Delacruz,Y:XCan20rfCXo,2019-01-04
121,/g/11bzxy8d_j,Midian Lima,Y:taKYv9lQ3E8,2019-01-04
122,/g/11f10lszn1,Anitta,Y:PKoXd-YZCuU,2019-01-04
123,/g/11fkdz_yyw,Isadora Pompeo,Y:5-RiEGTePPk,2019-01-04
124,/g/11hzcy7yz_,MC Kevin o Chris,Y:pozMrssJ9eg,2019-01-04
125,,Aaron Smith,Y:QnBVElGm5Xs,2019-01-04
126,/m/0wtnl61,Henrique & Juliano,Y:lXriGr9fwLs,2019-01-04
127,/g/11bt_9v_qv,MC Kapela,Y:s88a5WG7kVA,2019-01-04
128,/g/11c310nyw_,Mc Igu,Y:uKdJcj2yuYc,2019-01-04
129,/m/0wtnl61,Henrique & Juliano,Y:b6PDlYnRN4c,2019-01-04
130,/g/11cp5wbfs_,Ministério Avivah,Y:3o5kvDjrdeE,2019-01-04
131,/g/11b7_vyjtm,Mc Davi,Y:7fkTLnYPEkM,2019-01-04
132,,Mc Kevin,Y:7fkTLnYPEkM,2019-01-04
133,/g/11b6_sq0s2,Mc Livinho,Y:dL35HmDXaYM,2019-01-04
134,,DJ Rennan da Penha,Y:dL35HmDXaYM,2019-01-04
