,id,name,viewCount,encryptedVideoId,artists,isVisible,atvExternalVideoId,thumbnail_thumbnails,chartEntryMetadata_currentPosition,chartEntryMetadata_previousPosition,chartEntryMetadata_percentViewsChange,chartEntryMetadata_periodsOnChart,releaseDate_year,releaseDate_month,releaseDate_day,data_inicio
57,Y:2bVWiSHfQbo,Roda Gigante,2958912,Pt6DGd9VG-U,"[{'kgMid': '/g/11b7_snwcl', 'name': 'MC Rodolfinho'}]",True,XDOvt6zB6WQ,"[{'url': 'https://i.ytimg.com/vi/Pt6DGd9VG-U/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/Pt6DGd9VG-U/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/Pt6DGd9VG-U/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/Pt6DGd9VG-U/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/Pt6DGd9VG-U/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",58,56.0,-0.11717329,8,2018.0,10.0,26.0,2019-01-04
58,Y:2F5Y4Zbf1X4,Vamos pra Gaiola (feat. FP do Trem Bala),2908800,0R6zBcV9JiY,[{'name': 'MC Kevin o Chris'}],True,w7nfGddPImA,"[{'url': 'https://i.ytimg.com/vi/0R6zBcV9JiY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/0R6zBcV9JiY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/0R6zBcV9JiY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/0R6zBcV9JiY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/0R6zBcV9JiY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",59,,,1,2018.0,12.0,13.0,2019-01-04
59,Y:WMgx7zhKzt8,Taki Taki,2834519,ixkoVwKQaJg,"[{'kgMid': '/m/01w65jh', 'name': 'DJ Snake'}]",True,MhzjE9hZhrE,"[{'url': 'https://i.ytimg.com/vi/ixkoVwKQaJg/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/ixkoVwKQaJg/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/ixkoVwKQaJg/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/ixkoVwKQaJg/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/ixkoVwKQaJg/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",60,61.0,-0.07553794,13,2018.0,9.0,28.0,2019-01-04
60,Y:MHqHWn_7btU,Vou Falar pra Tu,2694251,M5cXtRgZ3a8,[{'name': 'Jerry Smith'}],True,nrC9_QafoVw,"[{'url': 'https://i.ytimg.com/vi/M5cXtRgZ3a8/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/M5cXtRgZ3a8/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/M5cXtRgZ3a8/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/M5cXtRgZ3a8/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/M5cXtRgZ3a8/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",61,54.0,-0.19943383,10,2018.0,8.0,3.0,2019-01-04
61,Y:0Scra6jfn8A,Tira de Giro,2689145,muF5Xuf5qUY,"[{'kgMid': '/g/11bt_7r7wh', 'name': 'MC Hariel'}]",True,juScsPxQYGc,"[{'url': 'https://i.ytimg.com/vi/muF5Xuf5qUY/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/muF5Xuf5qUY/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/muF5Xuf5qUY/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/muF5Xuf5qUY/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/muF5Xuf5qUY/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",62,73.0,0.12887023,4,2018.0,12.0,12.0,2019-01-04
62,Y:hqfWehl63gc,Veneno,2632521,LoYYtYjB3h4,"[{'kgMid': '/g/11f10lszn1', 'name': 'Anitta'}]",True,-PLXwKIkZz8,"[{'url': 'https://i.ytimg.com/vi/LoYYtYjB3h4/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/LoYYtYjB3h4/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/LoYYtYjB3h4/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/LoYYtYjB3h4/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/LoYYtYjB3h4/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",63,67.0,-0.05840793,8,2018.0,11.0,8.0,2019-01-04
63,Y:AMZ8-HGMCVQ,Casal Bonnie e Clyde,2589221,74UBSFiYyYA,"[{'kgMid': '/g/11f122x7gd', 'name': 'MC Magal'}]",True,ZEBqyP87CL0,"[{'url': 'https://i.ytimg.com/vi/74UBSFiYyYA/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/74UBSFiYyYA/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/74UBSFiYyYA/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/74UBSFiYyYA/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/74UBSFiYyYA/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",64,96.0,0.43249297,2,2018.0,8.0,29.0,2019-01-04
64,Y:u8EXUyruTNU,Dá Uma Chance,2573875,LD0ZSIupa5I,[{'name': 'Ruanzinho'}],True,m6Jr2MUOSKE,"[{'url': 'https://i.ytimg.com/vi/LD0ZSIupa5I/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/LD0ZSIupa5I/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/LD0ZSIupa5I/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/LD0ZSIupa5I/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/LD0ZSIupa5I/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",65,68.0,-0.06077319,7,2018.0,10.0,11.0,2019-01-04
65,Y:tgwuHK-uyog,CASA DA MÃE JOANA (feat. Henrique & Juliano),2526698,hdjERtU7lMk,"[{'kgMid': '/g/11cnnwp26d', 'name': 'Marília Mendonça'}]",True,EkhxIkUTyKM,"[{'url': 'https://i.ytimg.com/vi/hdjERtU7lMk/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/hdjERtU7lMk/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/hdjERtU7lMk/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/hdjERtU7lMk/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/hdjERtU7lMk/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",66,60.0,-0.18593086,17,2018.0,9.0,14.0,2019-01-04
66,Y:AwmrQLhO2pc,Mil Vezes Cantarei,2485735,qjD3r5R9ISo,"[{'kgMid': '/m/0j9m6s7', 'name': 'Gusttavo Lima'}]",True,pyaRy5NAOQ8,"[{'url': 'https://i.ytimg.com/vi/qjD3r5R9ISo/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/qjD3r5R9ISo/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/qjD3r5R9ISo/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/qjD3r5R9ISo/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/qjD3r5R9ISo/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",67,91.0,0.32601953,4,2018.0,10.0,26.0,2019-01-04
67,Y:ySU2GaJKbxc,Dona de mim,2473552,FnGfgb_YNE8,"[{'kgMid': '/g/11gc9g8dkg', 'name': 'IZA'}]",True,UV6Ok427KQM,"[{'url': 'https://i.ytimg.com/vi/FnGfgb_YNE8/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/FnGfgb_YNE8/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/FnGfgb_YNE8/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/FnGfgb_YNE8/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/FnGfgb_YNE8/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",68,74.0,0.048520003,15,2018.0,4.0,27.0,2019-01-04
68,Y:wXDO-Kut5qs,Deus e Eu,2463492,yovzEEYOl-E,"[{'kgMid': '/g/11bvt5dbv2', 'name': 'Leandro Borges'}]",True,lPXx27RAxPE,"[{'url': 'https://i.ytimg.com/vi/yovzEEYOl-E/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/yovzEEYOl-E/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/yovzEEYOl-E/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/yovzEEYOl-E/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/yovzEEYOl-E/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",69,,0.15755484,23,2018.0,3.0,15.0,2019-01-04
69,Y:aTRPGEc2S3Y,Boa Menina,2385054,oGn9wIG2FDU,"[{'kgMid': '/g/11fy_qdm4z', 'name': 'Luísa Sonza'}]",True,pjiwETjDfp8,"[{'url': 'https://i.ytimg.com/vi/oGn9wIG2FDU/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/oGn9wIG2FDU/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/oGn9wIG2FDU/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/oGn9wIG2FDU/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/oGn9wIG2FDU/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",70,75.0,0.030918201,11,2018.0,10.0,29.0,2019-01-04
