,id,name,viewCount,encryptedVideoId,artists,isVisible,atvExternalVideoId,thumbnail_thumbnails,chartEntryMetadata_currentPosition,chartEntryMetadata_previousPosition,chartEntryMetadata_percentViewsChange,chartEntryMetadata_periodsOnChart,releaseDate_year,releaseDate_month,releaseDate_day
25,Y:4PCEEvzdm1c,Só Pra Castigar,6058649,V_w_KA1VKoQ,"[{'kgMid': '/m/0124x5pq', 'name': 'Wesley Safadão'}]",True,Guu1165El5A,"[{'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/V_w_KA1VKoQ/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",26,14.0,-0.20981105,18,2018,9,12
26,Y:h5Y0D2TGYH4,Sou Favela,6050551,PvJIwSPte4E,"[{'kgMid': '/g/11f5vgp9qk', 'name': 'Mc Bruninho'}, {'kgMid': '/g/11f655yjcs', 'name': 'MC Vitinho Ferrari'}]",True,DLeBQKoaxqw,"[{'url': 'https://i.ytimg.com/vi/PvJIwSPte4E/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/PvJIwSPte4E/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/PvJIwSPte4E/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/PvJIwSPte4E/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/PvJIwSPte4E/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",27,21.0,0.08400604,20,2018,8,30
27,Y:J6yu9zcAxl8,Ciumeira,5998551,KbRtA_brCQ0,"[{'kgMid': '/g/11cnnwp26d', 'name': 'Marília Mendonça'}]",True,1oYgPP8Qf-w,"[{'url': 'https://i.ytimg.com/vi/KbRtA_brCQ0/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/KbRtA_brCQ0/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/KbRtA_brCQ0/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/KbRtA_brCQ0/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/KbRtA_brCQ0/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",28,16.0,-0.14342158,21,2018,8,24
28,Y:b6-iKAEa30A,Cavalo de Troia,5533973,CR7QizUf6Jo,[{'name': 'MC Kevin'}],True,cR5DcvRczSE,"[{'url': 'https://i.ytimg.com/vi/CR7QizUf6Jo/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/CR7QizUf6Jo/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/CR7QizUf6Jo/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/CR7QizUf6Jo/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/CR7QizUf6Jo/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",29,26.0,0.064806715,6,2018,12,6
29,Y:uPdZ0S66M58,Juramento do Dedinho,5423933,rshk3Vi23h0,"[{'kgMid': '/g/11c2pjlbrf', 'name': 'Mano Walter'}]",True,QUSIVXl5xV4,"[{'url': 'https://i.ytimg.com/vi/rshk3Vi23h0/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/rshk3Vi23h0/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/rshk3Vi23h0/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/rshk3Vi23h0/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/rshk3Vi23h0/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",30,34.0,0.20188932,37,2018,4,27
30,Y:QEzpYbdvo9A,QUER MAIS?,5393738,Yiu6SrVkJ0o,"[{'kgMid': '/g/11c2lywr2r', 'name': 'MC Mirella'}, {'kgMid': '/g/12tb7_98j', 'name': 'POCAH'}]",True,BcbLLVhnROA,"[{'url': 'https://i.ytimg.com/vi/Yiu6SrVkJ0o/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/Yiu6SrVkJ0o/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/Yiu6SrVkJ0o/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/Yiu6SrVkJ0o/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/Yiu6SrVkJ0o/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",31,35.0,0.1964044,11,2018,10,31
31,Y:5oWWUbxlJKc,Chorar pra Quê,5352783,qd6qrh1AwKI,"[{'name': 'MC Charada'}, {'kgMid': '/g/11b7_v3lwg', 'name': 'Mc Dede'}]",True,,"[{'url': 'https://i.ytimg.com/vi/qd6qrh1AwKI/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/qd6qrh1AwKI/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/qd6qrh1AwKI/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/qd6qrh1AwKI/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/qd6qrh1AwKI/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",32,27.0,0.08606848,9,2018,11,15
32,Y:P_Llq_QkJOo,Cobaia (Ao Vivo),5284497,X7TKxphukD0,"[{'kgMid': '/g/11fltsbh_d', 'name': 'Lauana Prado'}, {'kgMid': '/g/11btz__j0s', 'name': 'Maiara & Maraisa'}]",True,StYPqHMmjFQ,"[{'url': 'https://i.ytimg.com/vi/X7TKxphukD0/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/X7TKxphukD0/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/X7TKxphukD0/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/X7TKxphukD0/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/X7TKxphukD0/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",33,30.0,0.11356564,8,2018,11,9
33,Y:vbcDDt9e5RE,Beijinho Gostoso,5253714,ZXhok5Smbts,"[{'kgMid': '/g/11f5vgp9qk', 'name': 'Mc Bruninho'}, {'kgMid': '/g/11b6_sq0s2', 'name': 'Mc Livinho'}]",True,esxWeYcx6D4,"[{'url': 'https://i.ytimg.com/vi/ZXhok5Smbts/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/ZXhok5Smbts/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/ZXhok5Smbts/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/ZXhok5Smbts/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/ZXhok5Smbts/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",34,37.0,0.19965145,5,2018,11,27
34,Y:i8fgDIJLOA0,Respeita o Nosso Fim (Ao Vivo),5230020,IrEFj4zpHgE,"[{'kgMid': '/m/0j9m6s7', 'name': 'Gusttavo Lima'}]",True,1h62q25ODlI,"[{'url': 'https://i.ytimg.com/vi/IrEFj4zpHgE/default.jpg', 'width': 120, 'height': 90}, {'url': 'https://i.ytimg.com/vi/IrEFj4zpHgE/mqdefault.jpg', 'width': 320, 'height': 180}, {'url': 'https://i.ytimg.com/vi/IrEFj4zpHgE/hqdefault.jpg', 'width': 480, 'height': 360}, {'url': 'https://i.ytimg.com/vi/IrEFj4zpHgE/sddefault.jpg', 'width': 640, 'height': 480}, {'url': 'https://i.ytimg.com/vi/IrEFj4zpHgE/maxresdefault.jpg', 'width': 1920, 'height': 1080}]",35,32.0,0.12828314,8,2018,10,26
