,kgMid,name,musicAnalyticsSectionRenderer_content_trackTypes_trackViews_id
89,/g/11b7_snwcl,MC Rodolfinho,Y:Yc8NF3F8LOU
90,/g/12lqjt13t,Hungria Hip-Hop,Y:_qP10Ka0BXc
91,/g/11c2nn_kzf,Mc Th,Y:5S93gDIpnrU
92,,MC Menininho,Y:5S93gDIpnrU
93,,DJ Victor Falcao,Y:5S93gDIpnrU
94,/g/11g0mh8knm,Enzo Rabelo,Y:cXltU1LNy6A
95,/g/11b7_snwcl,MC Rodolfinho,Y:2bVWiSHfQbo
96,/g/11f10lszn1,Anitta,Y:hqfWehl63gc
97,/g/11byhkk3nl,Lexa,Y:5f1wacUTmF8
98,/m/0j9m6s7,Gusttavo Lima,Y:AwmrQLhO2pc
99,/m/01sz99q,Eduardo Costa,Y:6Vluz5gZKWc
100,/g/11f4v4x7mq,Ferrugem,Y:zGCbQoCcA1s
101,/g/11f4v4x7mq,Ferrugem,Y:nwIUI46Py1Q
102,/g/11fy_qdm4z,Luísa Sonza,Y:aTRPGEc2S3Y
103,/m/01w65jh,DJ Snake,Y:WMgx7zhKzt8
104,/g/11cnnwp26d,Marília Mendonça,Y:vssm0JZSP1E
105,,Ruanzinho,Y:u8EXUyruTNU
106,/m/0gh91m8,Luan Santana,Y:AFjQl6-puAI
107,/g/11bt_7r7wh,MC Hariel,Y:0Scra6jfn8A
108,/m/0j9m6s7,Gusttavo Lima,Y:rk6N9ptf6Bo
109,,Jerry Smith,Y:w-vX5_XUdyQ
110,/m/0124x5pq,Wesley Safadão,Y:eins4SxDDTk
111,,Alessandro Vilas Boas,Y:OqgXaloCM58
112,/g/11gc9g8dkg,IZA,Y:ySU2GaJKbxc
113,/m/0qjjymk,Cristiano Araújo,Y:3Xl541nNXj8
114,/g/11ghyk6np1,Vitor Kley,Y:TguSbAn4rJs
115,/g/11g6rmbwk8,Bruno Martini,Y:TguSbAn4rJs
116,/g/11c2psj56j,MC Kekel,Y:2huCS-0jqwI
117,/m/0wtnl61,Henrique & Juliano,Y:lXriGr9fwLs
118,/g/11c602sm4t,Zé Neto & Cristiano,Y:cHKB6SbN3D8
119,/g/11b7_vwf0c,MC Vinny,Y:_yqx2uh_c6k
120,/g/11b7_tz84z,Luma Elpidio,Y:rVdBjFFe2BY
121,/g/11dxf0ptqb,Preto no Branco,Y:YGTWV8snTts
122,/g/120xp55c,Zé Ramalho,Y:9VRSZDLVV24
123,/m/02qzcw3,Fagner,Y:9VRSZDLVV24
124,/m/09gkdy4,Ariana Grande,Y:MxonrvCJRyw
125,/g/11fkdz_yyw,Isadora Pompeo,Y:5-RiEGTePPk
126,/m/01pb7lz,Grupo Revelação,Y:3_WQEtYXT6s
127,/m/01qtf3z,Trio Parada Dura,Y:29MLdCKF6PY
128,,MC WM,Y:hIjuhGHXvR4
129,/g/11hzcy7yz_,MC Kevin o Chris,Y:pozMrssJ9eg
